label,id,split
BlowingCandles,v_BlowingCandles_g23_c02,train
SoccerPenalty,v_SoccerPenalty_g23_c02,train
BaseballPitch,v_BaseballPitch_g17_c02,train
Nunchucks,v_Nunchucks_g08_c02,train
PullUps,v_PullUps_g04_c03,train
FloorGymnastics,v_FloorGymnastics_g06_c06,train
IceDancing,v_IceDancing_g25_c06,train
TennisSwing,v_TennisSwing_g02_c05,train
YoYo,v_YoYo_g20_c03,train
Skiing,v_Skiing_g01_c01,train
BrushingTeeth,v_BrushingTeeth_g03_c02,train
BabyCrawling,v_BabyCrawling_g19_c04,train
UnevenBars,v_UnevenBars_g11_c02,train
HandstandPushups,v_HandStandPushups_g09_c03,train
IceDancing,v_IceDancing_g25_c02,train
TrampolineJumping,v_TrampolineJumping_g01_c02,train
SoccerPenalty,v_SoccerPenalty_g24_c06,train
FieldHockeyPenalty,v_FieldHockeyPenalty_g21_c03,train
Archery,v_Archery_g14_c04,train
TableTennisShot,v_TableTennisShot_g24_c01,train
SalsaSpin,v_SalsaSpin_g12_c05,train
Nunchucks,v_Nunchucks_g08_c07,train
TennisSwing,v_TennisSwing_g07_c04,train
BrushingTeeth,v_BrushingTeeth_g18_c07,train
Hammering,v_Hammering_g17_c05,train
Basketball,v_Basketball_g23_c06,train
LongJump,v_LongJump_g09_c03,train
Billiards,v_Billiards_g25_c01,train
PushUps,v_PushUps_g12_c01,train
BandMarching,v_BandMarching_g10_c03,train
Skiing,v_Skiing_g15_c02,train
FrontCrawl,v_FrontCrawl_g11_c03,train
Hammering,v_Hammering_g25_c04,train
FrisbeeCatch,v_FrisbeeCatch_g06_c03,train
PizzaTossing,v_PizzaTossing_g01_c04,train
SumoWrestling,v_SumoWrestling_g20_c01,train
JumpRope,v_JumpRope_g09_c07,train
CleanAndJerk,v_CleanAndJerk_g23_c03,train
PoleVault,v_PoleVault_g19_c07,train
BenchPress,v_BenchPress_g22_c07,train
BlowDryHair,v_BlowDryHair_g23_c05,train
FloorGymnastics,v_FloorGymnastics_g06_c01,train
LongJump,v_LongJump_g06_c02,train
BreastStroke,v_BreastStroke_g24_c04,train
RopeClimbing,v_RopeClimbing_g13_c06,train
Diving,v_Diving_g11_c01,train
PlayingPiano,v_PlayingPiano_g06_c02,train
Drumming,v_Drumming_g23_c05,train
JavelinThrow,v_JavelinThrow_g20_c04,train
PullUps,v_PullUps_g24_c01,train
CuttingInKitchen,v_CuttingInKitchen_g12_c04,train
TrampolineJumping,v_TrampolineJumping_g08_c03,train
CliffDiving,v_CliffDiving_g24_c04,train
SumoWrestling,v_SumoWrestling_g12_c03,train
PlayingTabla,v_PlayingTabla_g22_c02,train
PlayingPiano,v_PlayingPiano_g08_c04,train
YoYo,v_YoYo_g24_c04,train
JumpingJack,v_JumpingJack_g14_c02,train
SkyDiving,v_SkyDiving_g21_c03,train
Bowling,v_Bowling_g08_c03,train
Skiing,v_Skiing_g13_c02,train
BlowingCandles,v_BlowingCandles_g25_c03,train
HorseRace,v_HorseRace_g07_c03,train
TaiChi,v_TaiChi_g25_c01,train
IceDancing,v_IceDancing_g22_c03,train
Shotput,v_Shotput_g23_c06,train
TaiChi,v_TaiChi_g10_c04,train
JavelinThrow,v_JavelinThrow_g06_c02,train
CricketBowling,v_CricketBowling_g15_c04,train
Punch,v_Punch_g17_c05,train
Rafting,v_Rafting_g01_c01,train
CricketShot,v_CricketShot_g09_c06,train
BlowingCandles,v_BlowingCandles_g21_c02,train
BreastStroke,v_BreastStroke_g23_c04,train
PlayingTabla,v_PlayingTabla_g08_c04,train
FrontCrawl,v_FrontCrawl_g19_c04,train
HeadMassage,v_HeadMassage_g19_c05,train
HorseRace,v_HorseRace_g09_c03,train
Shotput,v_Shotput_g04_c01,train
StillRings,v_StillRings_g12_c03,train
Basketball,v_Basketball_g18_c04,train
BasketballDunk,v_BasketballDunk_g24_c03,train
SoccerJuggling,v_SoccerJuggling_g03_c02,train
FieldHockeyPenalty,v_FieldHockeyPenalty_g10_c03,train
SumoWrestling,v_SumoWrestling_g02_c04,train
Lunges,v_Lunges_g13_c02,train
SalsaSpin,v_SalsaSpin_g12_c02,train
ApplyEyeMakeup,v_ApplyEyeMakeup_g22_c05,train
BenchPress,v_BenchPress_g09_c01,train
PlayingDhol,v_PlayingDhol_g08_c07,train
PlayingViolin,v_PlayingViolin_g12_c01,train
BreastStroke,v_BreastStroke_g02_c03,train
PlayingFlute,v_PlayingFlute_g16_c05,train
FieldHockeyPenalty,v_FieldHockeyPenalty_g11_c04,train
Mixing,v_Mixing_g23_c04,train
PoleVault,v_PoleVault_g22_c01,train
BodyWeightSquats,v_BodyWeightSquats_g15_c01,train
Haircut,v_Haircut_g24_c02,train
BaseballPitch,v_BaseballPitch_g01_c01,train
StillRings,v_StillRings_g15_c03,train
BandMarching,v_BandMarching_g05_c03,train
JumpRope,v_JumpRope_g14_c01,train
FloorGymnastics,v_FloorGymnastics_g11_c04,train
PizzaTossing,v_PizzaTossing_g04_c02,train
SoccerPenalty,v_SoccerPenalty_g16_c01,train
PizzaTossing,v_PizzaTossing_g05_c02,train
PoleVault,v_PoleVault_g15_c04,train
BodyWeightSquats,v_BodyWeightSquats_g16_c01,train
ApplyLipstick,v_ApplyLipstick_g13_c04,train
LongJump,v_LongJump_g04_c06,train
StillRings,v_StillRings_g17_c01,train
PlayingFlute,v_PlayingFlute_g22_c05,train
BoxingSpeedBag,v_BoxingSpeedBag_g19_c05,train
HandstandWalking,v_HandstandWalking_g14_c03,train
SoccerJuggling,v_SoccerJuggling_g16_c05,train
PlayingDhol,v_PlayingDhol_g18_c02,train
Hammering,v_Hammering_g01_c04,train
Shotput,v_Shotput_g08_c06,train
VolleyballSpiking,v_VolleyballSpiking_g07_c06,train
TennisSwing,v_TennisSwing_g10_c01,train
JumpingJack,v_JumpingJack_g17_c01,train
PlayingTabla,v_PlayingTabla_g21_c03,train
WritingOnBoard,v_WritingOnBoard_g08_c01,train
PlayingTabla,v_PlayingTabla_g12_c02,train
PlayingDaf,v_PlayingDaf_g25_c07,train
Diving,v_Diving_g06_c07,train
ShavingBeard,v_ShavingBeard_g25_c03,train
PlayingFlute,v_PlayingFlute_g04_c03,train
SkateBoarding,v_SkateBoarding_g18_c03,train
HandstandPushups,v_HandStandPushups_g23_c03,train
RockClimbingIndoor,v_RockClimbingIndoor_g12_c05,train
Rafting,v_Rafting_g13_c05,train
FrisbeeCatch,v_FrisbeeCatch_g20_c05,train
JumpingJack,v_JumpingJack_g02_c01,train
UnevenBars,v_UnevenBars_g20_c04,train
JavelinThrow,v_JavelinThrow_g12_c03,train
HulaHoop,v_HulaHoop_g13_c06,train
HighJump,v_HighJump_g09_c01,train
Drumming,v_Drumming_g11_c03,train
Drumming,v_Drumming_g07_c05,train
BoxingPunchingBag,v_BoxingPunchingBag_g13_c01,train
Fencing,v_Fencing_g03_c04,train
StillRings,v_StillRings_g04_c04,train
LongJump,v_LongJump_g21_c01,train
Knitting,v_Knitting_g07_c04,train
FloorGymnastics,v_FloorGymnastics_g12_c06,train
JavelinThrow,v_JavelinThrow_g01_c03,train
RockClimbingIndoor,v_RockClimbingIndoor_g16_c01,train
PlayingFlute,v_PlayingFlute_g15_c01,train
Diving,v_Diving_g25_c03,train
MilitaryParade,v_MilitaryParade_g19_c06,train
CricketShot,v_CricketShot_g06_c05,train
YoYo,v_YoYo_g17_c01,train
FrontCrawl,v_FrontCrawl_g23_c04,train
TaiChi,v_TaiChi_g13_c02,train
HeadMassage,v_HeadMassage_g17_c01,train
Lunges,v_Lunges_g25_c04,train
CricketBowling,v_CricketBowling_g11_c06,train
Typing,v_Typing_g06_c04,train
HorseRace,v_HorseRace_g03_c04,train
StillRings,v_StillRings_g05_c02,train
Mixing,v_Mixing_g17_c02,train
PlayingSitar,v_PlayingSitar_g24_c06,train
CricketBowling,v_CricketBowling_g25_c05,train
HammerThrow,v_HammerThrow_g08_c04,train
CricketShot,v_CricketShot_g22_c04,train
SoccerJuggling,v_SoccerJuggling_g14_c05,train
StillRings,v_StillRings_g19_c04,train
UnevenBars,v_UnevenBars_g09_c01,train
BalanceBeam,v_BalanceBeam_g11_c03,train
PlayingCello,v_PlayingCello_g16_c05,train
MilitaryParade,v_MilitaryParade_g25_c07,train
Skiing,v_Skiing_g16_c03,train
CuttingInKitchen,v_CuttingInKitchen_g21_c03,train
Haircut,v_Haircut_g23_c02,train
YoYo,v_YoYo_g03_c04,train
PlayingDaf,v_PlayingDaf_g09_c04,train
PlayingPiano,v_PlayingPiano_g17_c04,train
BasketballDunk,v_BasketballDunk_g07_c04,train
ThrowDiscus,v_ThrowDiscus_g05_c04,train
PushUps,v_PushUps_g23_c04,train
MoppingFloor,v_MoppingFloor_g05_c01,train
PlayingPiano,v_PlayingPiano_g16_c06,train
Kayaking,v_Kayaking_g23_c06,train
PlayingSitar,v_PlayingSitar_g20_c01,train
BreastStroke,v_BreastStroke_g06_c04,train
Rafting,v_Rafting_g15_c03,train
TrampolineJumping,v_TrampolineJumping_g11_c02,train
WalkingWithDog,v_WalkingWithDog_g19_c03,train
BodyWeightSquats,v_BodyWeightSquats_g12_c01,train
PlayingViolin,v_PlayingViolin_g08_c01,train
WritingOnBoard,v_WritingOnBoard_g23_c04,train
Punch,v_Punch_g21_c02,train
BlowDryHair,v_BlowDryHair_g21_c06,train
HorseRiding,v_HorseRiding_g08_c02,train
CricketBowling,v_CricketBowling_g04_c04,train
CricketShot,v_CricketShot_g11_c03,train
GolfSwing,v_GolfSwing_g02_c04,train
SumoWrestling,v_SumoWrestling_g22_c01,train
HorseRiding,v_HorseRiding_g14_c02,train
BenchPress,v_BenchPress_g06_c03,train
BoxingPunchingBag,v_BoxingPunchingBag_g16_c03,train
Drumming,v_Drumming_g13_c06,train
ShavingBeard,v_ShavingBeard_g16_c05,train
StillRings,v_StillRings_g02_c01,train
PommelHorse,v_PommelHorse_g24_c01,train
Typing,v_Typing_g02_c06,train
HandstandPushups,v_HandStandPushups_g18_c04,train
TaiChi,v_TaiChi_g14_c01,train
ThrowDiscus,v_ThrowDiscus_g01_c01,train
BalanceBeam,v_BalanceBeam_g16_c04,train
SoccerJuggling,v_SoccerJuggling_g07_c05,train
Surfing,v_Surfing_g15_c03,train
Swing,v_Swing_g19_c04,train
Typing,v_Typing_g25_c01,train
PlayingGuitar,v_PlayingGuitar_g07_c03,train
Mixing,v_Mixing_g21_c03,train
CliffDiving,v_CliffDiving_g23_c01,train
BlowDryHair,v_BlowDryHair_g07_c01,train
SkateBoarding,v_SkateBoarding_g15_c03,train
SalsaSpin,v_SalsaSpin_g08_c01,train
BalanceBeam,v_BalanceBeam_g02_c03,train
JumpingJack,v_JumpingJack_g23_c03,train
Biking,v_Biking_g02_c06,train
UnevenBars,v_UnevenBars_g17_c01,train
Diving,v_Diving_g25_c02,train
Fencing,v_Fencing_g16_c02,train
Kayaking,v_Kayaking_g10_c02,train
HulaHoop,v_HulaHoop_g18_c03,train
ApplyEyeMakeup,v_ApplyEyeMakeup_g13_c01,train
MoppingFloor,v_MoppingFloor_g18_c01,train
PullUps,v_PullUps_g07_c01,train
GolfSwing,v_GolfSwing_g23_c07,train
WallPushups,v_WallPushups_g16_c05,train
BabyCrawling,v_BabyCrawling_g14_c02,train
Surfing,v_Surfing_g02_c01,train
SalsaSpin,v_SalsaSpin_g20_c01,train
TrampolineJumping,v_TrampolineJumping_g23_c03,train
Mixing,v_Mixing_g06_c05,train
PlayingCello,v_PlayingCello_g01_c06,train
TableTennisShot,v_TableTennisShot_g06_c06,train
MoppingFloor,v_MoppingFloor_g22_c02,train
BrushingTeeth,v_BrushingTeeth_g22_c06,train
PlayingDhol,v_PlayingDhol_g04_c03,train
HeadMassage,v_HeadMassage_g14_c07,train
CricketShot,v_CricketShot_g23_c02,train
HandstandPushups,v_HandStandPushups_g10_c03,train
PlayingSitar,v_PlayingSitar_g18_c05,train
Billiards,v_Billiards_g12_c03,train
Haircut,v_Haircut_g09_c01,train
PlayingDhol,v_PlayingDhol_g12_c06,train
PoleVault,v_PoleVault_g14_c01,train
HighJump,v_HighJump_g08_c01,train
PommelHorse,v_PommelHorse_g13_c03,train
CricketBowling,v_CricketBowling_g18_c06,train
BlowingCandles,v_BlowingCandles_g05_c03,train
PlayingDaf,v_PlayingDaf_g24_c04,train
Kayaking,v_Kayaking_g24_c06,train
Lunges,v_Lunges_g08_c02,train
CliffDiving,v_CliffDiving_g06_c01,train
PlayingViolin,v_PlayingViolin_g02_c02,train
SkateBoarding,v_SkateBoarding_g03_c02,train
PizzaTossing,v_PizzaTossing_g18_c04,train
CuttingInKitchen,v_CuttingInKitchen_g09_c04,train
ApplyLipstick,v_ApplyLipstick_g17_c05,train
CuttingInKitchen,v_CuttingInKitchen_g11_c02,train
VolleyballSpiking,v_VolleyballSpiking_g20_c02,train
Fencing,v_Fencing_g12_c01,train
CleanAndJerk,v_CleanAndJerk_g15_c03,train
ApplyEyeMakeup,v_ApplyEyeMakeup_g17_c04,train
MilitaryParade,v_MilitaryParade_g22_c04,train
HorseRace,v_HorseRace_g19_c02,train
Shotput,v_Shotput_g01_c02,train
Lunges,v_Lunges_g16_c02,train
Knitting,v_Knitting_g19_c03,train
BoxingPunchingBag,v_BoxingPunchingBag_g24_c07,train
HorseRiding,v_HorseRiding_g11_c04,train
PoleVault,v_PoleVault_g09_c03,train
Kayaking,v_Kayaking_g03_c02,train
PullUps,v_PullUps_g20_c02,train
HandstandWalking,v_HandstandWalking_g19_c02,train
LongJump,v_LongJump_g07_c04,train
GolfSwing,v_GolfSwing_g05_c05,train
FloorGymnastics,v_FloorGymnastics_g20_c05,train
PoleVault,v_PoleVault_g20_c02,train
PlayingViolin,v_PlayingViolin_g04_c04,train
BenchPress,v_BenchPress_g24_c03,train
Hammering,v_Hammering_g23_c04,train
Typing,v_Typing_g17_c03,train
Mixing,v_Mixing_g14_c06,train
Skijet,v_Skijet_g17_c03,train
BenchPress,v_BenchPress_g18_c07,train
RopeClimbing,v_RopeClimbing_g02_c04,train
WalkingWithDog,v_WalkingWithDog_g10_c05,train
IceDancing,v_IceDancing_g10_c04,train
Swing,v_Swing_g03_c03,train
PushUps,v_PushUps_g10_c01,train
BandMarching,v_BandMarching_g07_c03,train
Kayaking,v_Kayaking_g01_c05,train
SoccerPenalty,v_SoccerPenalty_g03_c03,train
PlayingSitar,v_PlayingSitar_g19_c06,train
TrampolineJumping,v_TrampolineJumping_g10_c03,train
BlowDryHair,v_BlowDryHair_g23_c04,train
SkyDiving,v_SkyDiving_g22_c01,train
Punch,v_Punch_g22_c07,train
MilitaryParade,v_MilitaryParade_g15_c07,train
BabyCrawling,v_BabyCrawling_g06_c03,train
CleanAndJerk,v_CleanAndJerk_g25_c04,train
HulaHoop,v_HulaHoop_g18_c02,train
BlowingCandles,v_BlowingCandles_g11_c02,train
PlayingViolin,v_PlayingViolin_g09_c01,train
Diving,v_Diving_g13_c02,train
BenchPress,v_BenchPress_g17_c06,train
Nunchucks,v_Nunchucks_g03_c02,train
VolleyballSpiking,v_VolleyballSpiking_g22_c03,train
CliffDiving,v_CliffDiving_g23_c05,train
BoxingSpeedBag,v_BoxingSpeedBag_g11_c02,train
WalkingWithDog,v_WalkingWithDog_g15_c03,train
Surfing,v_Surfing_g18_c03,train
BasketballDunk,v_BasketballDunk_g09_c04,train
Knitting,v_Knitting_g11_c04,train
BoxingSpeedBag,v_BoxingSpeedBag_g01_c01,train
TennisSwing,v_TennisSwing_g12_c07,train
JugglingBalls,v_JugglingBalls_g19_c03,train
HorseRiding,v_HorseRiding_g12_c05,train
CliffDiving,v_CliffDiving_g03_c05,train
RockClimbingIndoor,v_RockClimbingIndoor_g12_c06,train
TrampolineJumping,v_TrampolineJumping_g18_c01,train
Rowing,v_Rowing_g02_c05,train
SumoWrestling,v_SumoWrestling_g01_c02,train
Punch,v_Punch_g13_c01,train
SoccerPenalty,v_SoccerPenalty_g22_c02,train
UnevenBars,v_UnevenBars_g10_c03,train
SkateBoarding,v_SkateBoarding_g19_c05,train
PommelHorse,v_PommelHorse_g25_c01,train
SoccerJuggling,v_SoccerJuggling_g07_c06,train
Rowing,v_Rowing_g20_c02,train
HeadMassage,v_HeadMassage_g14_c02,train
ShavingBeard,v_ShavingBeard_g17_c07,train
MoppingFloor,v_MoppingFloor_g07_c05,train
BaseballPitch,v_BaseballPitch_g02_c04,train
PlayingDaf,v_PlayingDaf_g22_c01,train
TableTennisShot,v_TableTennisShot_g16_c07,train
BasketballDunk,v_BasketballDunk_g05_c03,train
JugglingBalls,v_JugglingBalls_g14_c05,train
PlayingDhol,v_PlayingDhol_g19_c07,train
FrisbeeCatch,v_FrisbeeCatch_g19_c05,train
PizzaTossing,v_PizzaTossing_g17_c04,train
Typing,v_Typing_g17_c04,train
SumoWrestling,v_SumoWrestling_g08_c07,train
Diving,v_Diving_g16_c03,train
BabyCrawling,v_BabyCrawling_g07_c05,train
HandstandPushups,v_HandStandPushups_g24_c04,train
HighJump,v_HighJump_g23_c02,train
BrushingTeeth,v_BrushingTeeth_g07_c03,train
Billiards,v_Billiards_g15_c05,train
HandstandPushups,v_HandStandPushups_g07_c02,train
Drumming,v_Drumming_g02_c02,train
PommelHorse,v_PommelHorse_g18_c02,train
Skijet,v_Skijet_g16_c04,train
RopeClimbing,v_RopeClimbing_g20_c04,train
ApplyEyeMakeup,v_ApplyEyeMakeup_g15_c05,train
PlayingTabla,v_PlayingTabla_g02_c04,train
BlowDryHair,v_BlowDryHair_g10_c05,train
BenchPress,v_BenchPress_g23_c03,train
RockClimbingIndoor,v_RockClimbingIndoor_g20_c01,train
SoccerPenalty,v_SoccerPenalty_g06_c05,train
VolleyballSpiking,v_VolleyballSpiking_g21_c01,train
SalsaSpin,v_SalsaSpin_g14_c04,train
Basketball,v_Basketball_g17_c02,train
IceDancing,v_IceDancing_g05_c06,train
ApplyLipstick,v_ApplyLipstick_g13_c03,train
BalanceBeam,v_BalanceBeam_g01_c02,train
BodyWeightSquats,v_BodyWeightSquats_g07_c04,train
JavelinThrow,v_JavelinThrow_g09_c02,train
Billiards,v_Billiards_g21_c01,train
Rafting,v_Rafting_g02_c01,train
SkyDiving,v_SkyDiving_g08_c02,train
HulaHoop,v_HulaHoop_g06_c03,train
Bowling,v_Bowling_g06_c06,train
Surfing,v_Surfing_g12_c04,train
Shotput,v_Shotput_g02_c06,train
FrisbeeCatch,v_FrisbeeCatch_g24_c01,train
Swing,v_Swing_g18_c01,train
Basketball,v_Basketball_g16_c05,train
WallPushups,v_WallPushups_g13_c02,train
PoleVault,v_PoleVault_g23_c04,train
ShavingBeard,v_ShavingBeard_g19_c07,train
FieldHockeyPenalty,v_FieldHockeyPenalty_g14_c07,train
BoxingPunchingBag,v_BoxingPunchingBag_g24_c06,train
TableTennisShot,v_TableTennisShot_g15_c05,train
ParallelBars,v_ParallelBars_g12_c03,train
RopeClimbing,v_RopeClimbing_g21_c04,train
HighJump,v_HighJump_g20_c05,train
Archery,v_Archery_g01_c07,train
WritingOnBoard,v_WritingOnBoard_g09_c01,train
BoxingSpeedBag,v_BoxingSpeedBag_g20_c02,train
Skijet,v_Skijet_g18_c02,train
JumpingJack,v_JumpingJack_g11_c01,train
MilitaryParade,v_MilitaryParade_g17_c05,train
ParallelBars,v_ParallelBars_g07_c02,train
HorseRace,v_HorseRace_g17_c05,train
RopeClimbing,v_RopeClimbing_g24_c04,train
BoxingSpeedBag,v_BoxingSpeedBag_g11_c04,train
Billiards,v_Billiards_g11_c07,train
Punch,v_Punch_g24_c02,train
TennisSwing,v_TennisSwing_g06_c03,train
PlayingCello,v_PlayingCello_g18_c03,train
CleanAndJerk,v_CleanAndJerk_g24_c04,train
BoxingSpeedBag,v_BoxingSpeedBag_g18_c02,train
JumpRope,v_JumpRope_g22_c06,train
PlayingDaf,v_PlayingDaf_g11_c01,train
Typing,v_Typing_g09_c01,train
BrushingTeeth,v_BrushingTeeth_g24_c02,train
PlayingCello,v_PlayingCello_g11_c05,train
ThrowDiscus,v_ThrowDiscus_g07_c05,train
PlayingGuitar,v_PlayingGuitar_g17_c03,train
SoccerJuggling,v_SoccerJuggling_g15_c03,train
WallPushups,v_WallPushups_g06_c04,train
BalanceBeam,v_BalanceBeam_g08_c01,train
SoccerPenalty,v_SoccerPenalty_g05_c04,train
Fencing,v_Fencing_g14_c04,train
HandstandWalking,v_HandstandWalking_g08_c02,train
PlayingCello,v_PlayingCello_g23_c07,train
Rowing,v_Rowing_g09_c06,train
PlayingCello,v_PlayingCello_g20_c05,train
PullUps,v_PullUps_g08_c01,train
Shotput,v_Shotput_g08_c03,train
WallPushups,v_WallPushups_g06_c07,train
BaseballPitch,v_BaseballPitch_g08_c03,train
CliffDiving,v_CliffDiving_g05_c01,train
FrontCrawl,v_FrontCrawl_g17_c04,train
Archery,v_Archery_g23_c04,train
PlayingSitar,v_PlayingSitar_g05_c04,train
HammerThrow,v_HammerThrow_g08_c03,train
JumpRope,v_JumpRope_g24_c03,train
Rowing,v_Rowing_g20_c01,train
PlayingViolin,v_PlayingViolin_g03_c01,train
TennisSwing,v_TennisSwing_g19_c01,train
JumpRope,v_JumpRope_g24_c05,train
SkyDiving,v_SkyDiving_g12_c04,train
BaseballPitch,v_BaseballPitch_g22_c04,train
BrushingTeeth,v_BrushingTeeth_g19_c01,train
ApplyEyeMakeup,v_ApplyEyeMakeup_g04_c04,train
FrisbeeCatch,v_FrisbeeCatch_g03_c03,train
Bowling,v_Bowling_g13_c02,train
MilitaryParade,v_MilitaryParade_g08_c02,train
FrontCrawl,v_FrontCrawl_g10_c01,train
Skiing,v_Skiing_g15_c05,train
Nunchucks,v_Nunchucks_g12_c01,train
TaiChi,v_TaiChi_g24_c02,train
BandMarching,v_BandMarching_g21_c02,train
HorseRiding,v_HorseRiding_g17_c02,train
Haircut,v_Haircut_g04_c05,train
FloorGymnastics,v_FloorGymnastics_g07_c07,train
CleanAndJerk,v_CleanAndJerk_g20_c06,train
TaiChi,v_TaiChi_g10_c03,train
Biking,v_Biking_g07_c05,train
RockClimbingIndoor,v_RockClimbingIndoor_g15_c03,train
SumoWrestling,v_SumoWrestling_g01_c03,train
BlowDryHair,v_BlowDryHair_g07_c02,train
Skijet,v_Skijet_g19_c04,train
FrontCrawl,v_FrontCrawl_g04_c07,train
Biking,v_Biking_g16_c01,train
Swing,v_Swing_g20_c05,train
HeadMassage,v_HeadMassage_g01_c03,train
Knitting,v_Knitting_g02_c01,train
HandstandPushups,v_HandStandPushups_g15_c06,train
HandstandWalking,v_HandstandWalking_g20_c04,train
Biking,v_Biking_g20_c02,train
MoppingFloor,v_MoppingFloor_g10_c02,train
BodyWeightSquats,v_BodyWeightSquats_g24_c05,train
FieldHockeyPenalty,v_FieldHockeyPenalty_g04_c07,train
MoppingFloor,v_MoppingFloor_g06_c02,train
Drumming,v_Drumming_g05_c02,train
Fencing,v_Fencing_g22_c02,train
Punch,v_Punch_g16_c04,train
Hammering,v_Hammering_g01_c02,train
CricketBowling,v_CricketBowling_g20_c01,train
PullUps,v_PullUps_g19_c01,train
BoxingPunchingBag,v_BoxingPunchingBag_g23_c04,train
PlayingGuitar,v_PlayingGuitar_g15_c04,train
PlayingGuitar,v_PlayingGuitar_g15_c02,train
SkateBoarding,v_SkateBoarding_g05_c02,train
WritingOnBoard,v_WritingOnBoard_g14_c01,train
Mixing,v_Mixing_g11_c04,train
SoccerJuggling,v_SoccerJuggling_g12_c03,train
JugglingBalls,v_JugglingBalls_g20_c03,train
ParallelBars,v_ParallelBars_g03_c02,train
JumpingJack,v_JumpingJack_g09_c02,train
Hammering,v_Hammering_g14_c01,train
FrisbeeCatch,v_FrisbeeCatch_g16_c06,train
